"RegionName","StateName","Metro","StateCodeFIPS","MunicipalCodeFIPS","avg_2019","avg_2022","price_changes"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",608348.764304274,813498.013750105,0.33722308893065
"Cook County","IL","Chicago-Naperville-Elgin, IL-IN-WI","17","031",231128.608988427,278720.966598484,0.205912880358485
"Harris County","TX","Houston-The Woodlands-Sugar Land, TX","48","201",196385.288182102,265129.351473964,0.35004690997076
"Maricopa County","AZ","Phoenix-Mesa-Chandler, AZ","04","013",286157.96933111,471273.528735279,0.646899891821546
"San Diego County","CA","San Diego-Chula Vista-Carlsbad, CA","06","073",589028.940485712,848094.059248743,0.439817300911236
"Orange County","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",701915.697130169,973952.415342272,0.387563234907473
"Kings County","NY","New York-Newark-Jersey City, NY-NJ-PA","36","047",764457.897462306,845462.322660613,0.105963226316595
"Miami-Dade County","FL","Miami-Fort Lauderdale-Pompano Beach, FL","12","086",308249.158458429,428763.222390869,0.390963156347735
"Dallas County","TX","Dallas-Fort Worth-Arlington, TX","48","113",208896.975210068,294778.324179858,0.411118202565775
"Riverside County","CA","Riverside-San Bernardino-Ontario, CA","06","065",382714.66810972,566707.613059998,0.480757494503789
"Queens County","NY","New York-Newark-Jersey City, NY-NJ-PA","36","081",653944.967005117,722127.188127756,0.104262934287719
"King County","WA","Seattle-Tacoma-Bellevue, WA","53","033",598739.038803487,839765.612732938,0.402556971082286
"Clark County","NV","Las Vegas-Henderson-Paradise, NV","32","003",287219.126256329,409021.041987633,0.42407313648953
"San Bernardino County","CA","Riverside-San Bernardino-Ontario, CA","06","071",346735.595844453,504459.046887821,0.454881047500307
"Tarrant County","TX","Dallas-Fort Worth-Arlington, TX","48","439",215768.487787641,313271.489127961,0.451887123741082
"Bexar County","TX","San Antonio-New Braunfels, TX","48","029",186148.778603144,257956.333657137,0.3857535654697
"Santa Clara County","CA","San Jose-Sunnyvale-Santa Clara, CA","06","085",1170082.81410483,1529764.09023765,0.307398136095172
"Broward County","FL","Miami-Fort Lauderdale-Pompano Beach, FL","12","011",271458.073501253,375672.874511241,0.383907539259493
"Wayne County","MI","Detroit-Warren-Dearborn, MI","26","163",112490.193966039,153045.389127293,0.360522048468484
"Alameda County","CA","San Francisco-Oakland-Berkeley, CA","06","001",844521.623843099,1141295.42953745,0.351410546889073
"New York County","NY","New York-Newark-Jersey City, NY-NJ-PA","36","061",1344108.44733314,1375004.2638314,0.0229861039557936
"Middlesex County","MA","Boston-Cambridge-Newton, MA-NH","25","017",549247.225465454,683740.825787601,0.244868966262272
"Philadelphia County","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","42","101",170443.439662369,216019.414164736,0.267396472358505
"Sacramento County","CA","Sacramento-Roseville-Folsom, CA","06","067",374309.568856732,535633.621615719,0.430990992968
"Suffolk County","NY","New York-Newark-Jersey City, NY-NJ-PA","36","103",448865.886763911,576553.55620866,0.284467305736487
"Palm Beach County","FL","Miami-Fort Lauderdale-Pompano Beach, FL","12","099",287357.48711483,423588.65064533,0.474082526605826
"Bronx County","NY","New York-Newark-Jersey City, NY-NJ-PA","36","005",520200.641569022,511455.708879714,-0.0168106918571484
"Hillsborough County","FL","Tampa-St. Petersburg-Clearwater, FL","12","057",229377.142628773,357673.486106732,0.559324883062106
"Orange County","FL","Orlando-Kissimmee-Sanford, FL","12","095",254025.691072089,361346.88730149,0.422481662293536
"Nassau County","NY","New York-Newark-Jersey City, NY-NJ-PA","36","059",567400.366164286,675263.129341816,0.190099918170126
"Franklin County","OH","Columbus, OH","39","049",180996.167325887,254199.556652116,0.404447179229078
"Oakland County","MI","Detroit-Warren-Dearborn, MI","26","125",246328.314349386,312205.279077281,0.267435616980908
"Hennepin County","MN","Minneapolis-St. Paul-Bloomington, MN-WI","27","053",295993.334434247,361022.624606845,0.219698495227583
